	Label	Score
0	1.0	0.9559999999999998
1	0.0	0.31579999999999997
2	0.0	0.0618
3	0.0	0.4344
4	1.0	0.8622
5	1.0	0.9776
6	1.0	0.9366
7	1.0	0.9656
8	0.0	0.2062
9	1.0	0.9132
10	1.0	0.9934
11	0.0	0.10979999999999998
12	1.0	0.782
13	0.0	0.019399999999999997
14	1.0	0.7702
15	0.0	0.6992
16	0.0	0.346
17	0.0	0.5742
18	1.0	0.8577999999999999
19	1.0	0.8896000000000001
20	1.0	0.9138
21	0.0	0.0168
22	1.0	0.8938
23	1.0	0.6567999999999999
24	0.0	0.7758
25	1.0	0.5871999999999999
26	0.0	0.1782
27	0.0	0.7134
28	1.0	0.5594
29	1.0	0.9308
30	1.0	0.9720000000000001
31	0.0	0.023
32	0.0	0.4664
33	0.0	0.5186
34	0.0	0.01
35	1.0	0.9262
36	1.0	0.9672000000000001
37	0.0	0.8583999999999999
38	0.0	0.2338
39	1.0	0.617
40	0.0	0.37279999999999996
41	0.0	0.5074
42	0.0	0.2082
43	0.0	0.7848
44	1.0	0.64
45	0.0	0.76
46	0.0	0.14579999999999999
47	1.0	0.4673999999999999
48	1.0	0.9890000000000001
49	1.0	0.9904
50	1.0	0.616
51	1.0	0.8220000000000001
52	1.0	0.5147999999999999
53	1.0	0.7270000000000001
54	1.0	0.5844
55	1.0	0.8448
56	1.0	0.9642
57	1.0	0.818
58	0.0	0.2538
59	0.0	0.5412
60	1.0	0.9696
61	1.0	0.9394
62	1.0	0.969
63	0.0	0.6252
64	1.0	0.8444
65	1.0	0.8704000000000001
66	0.0	0.0726
67	0.0	0.4372
68	0.0	0.014799999999999999
69	1.0	0.787
70	1.0	0.6214000000000001
71	1.0	0.9673999999999999
72	0.0	0.3928
73	1.0	0.9952
74	1.0	0.8134
75	1.0	0.7758
76	1.0	0.458
77	0.0	0.0088
78	1.0	0.20939999999999998
79	1.0	0.9884000000000001
80	0.0	0.5032
81	1.0	0.6608
82	0.0	0.4828
83	1.0	0.8706000000000002
84	1.0	0.333
85	1.0	0.4002
86	1.0	0.9523999999999999
87	0.0	0.048799999999999996
88	0.0	0.023
89	1.0	0.9696
90	1.0	0.977
91	1.0	0.9138
92	1.0	0.8124
93	1.0	0.7740000000000001
94	1.0	0.959
95	1.0	0.6938000000000001
96	0.0	0.4946
97	1.0	0.7974
98	0.0	0.18919999999999998
99	1.0	0.9436
100	1.0	0.7916
101	1.0	0.5862
102	1.0	0.5744
103	1.0	0.7602
104	1.0	0.9572
105	1.0	0.9541999999999999
106	1.0	0.9503999999999999
107	1.0	0.49000000000000005
108	1.0	0.8893999999999999
109	1.0	0.8862
110	0.0	0.40119999999999995
111	0.0	0.20739999999999997
112	1.0	0.9400000000000001
113	0.0	0.8096
114	0.0	0.08499999999999999
115	0.0	0.8950000000000001
116	1.0	0.771
117	0.0	0.8318
118	1.0	0.9456
119	0.0	0.24860000000000002
120	0.0	0.053000000000000005
121	0.0	0.0662
122	1.0	0.9066000000000001
123	0.0	0.5518000000000001
124	1.0	0.9530000000000001
125	0.0	0.001
126	1.0	0.9194000000000001
127	1.0	0.9248
128	1.0	0.9492
129	1.0	0.6392
130	0.0	0.5146
131	1.0	0.6436
132	1.0	0.46699999999999997
133	1.0	0.9528000000000001
134	1.0	0.9258
135	1.0	0.9678000000000001
136	0.0	0.054000000000000006
137	1.0	0.9802
138	1.0	0.8311999999999999
139	0.0	0.2782
140	1.0	0.7792
141	1.0	0.9026
142	1.0	0.9613999999999999
143	0.0	0.11580000000000001
144	1.0	0.2976
145	0.0	0.48419999999999996
146	0.0	0.0588
147	0.0	0.27859999999999996
148	0.0	0.24499999999999997
149	0.0	0.749
150	0.0	0.056600000000000004
151	0.0	0.2492
152	1.0	0.9012
153	1.0	0.9618
154	0.0	0.23559999999999998
155	0.0	0.2352
156	0.0	0.2424
157	1.0	0.9922000000000001
158	0.0	0.29460000000000003
