QED	DESIRE	VALID	Frags	SMILES
0.21	1	1	Cc1[nH]c2nc(N)nn2c(=O)c1Cc1ccccc1	COc1ccc(C(=O)NCc2[nH]c3nc(N)nn3c(=O)c2Cc2cccc(C=C[N+](=O)[O-])c2N2CCCC2)cc1
0.73	1	1	Cc1[nH]c2nc(N)nn2c(=O)c1Cc1ccccc1	Cc1ccccc1Cc1c(C)[nH]c2nc(N)nn2c1=O
0.71	1	1	Cc1[nH]c2nc(N)nn2c(=O)c1Cc1ccccc1	Cc1[nH]c2nc(N)nn2c(=O)c1Cc1ccccc1
0.60	1	1	Cc1[nH]c2nc(N)nn2c(=O)c1Cc1ccccc1	Cc1[nH]c2nc(N)nn2c(=O)c1C(c1ccccc1)c1ccccc1
0.71	1	1	Cc1[nH]c2nc(N)nn2c(=O)c1Cc1ccccc1	Cc1[nH]c2nc(N)nn2c(=O)c1Cc1ccccc1
0.71	1	1	Cc1[nH]c2nc(N)nn2c(=O)c1Cc1ccccc1	Cc1[nH]c2nc(N)nn2c(=O)c1Cc1ccccc1
0.71	1	1	Cc1[nH]c2nc(N)nn2c(=O)c1Cc1ccccc1	Cc1[nH]c2nc(N)nn2c(=O)c1Cc1ccccc1
0.72	1	1	Cc1[nH]c2nc(N)nn2c(=O)c1Cc1ccccc1	Cc1[nH]c2nc(N)nn2c(=O)c1Cc1ccc2cc1C(=O)N2C
0.71	1	1	Cc1[nH]c2nc(N)nn2c(=O)c1Cc1ccccc1	Cc1[nH]c2nc(N)nn2c(=O)c1Cc1ccccc1
0.36	1	1	Cc1[nH]c2nc(N)nn2c(=O)c1Cc1ccccc1	Cc1[nH]c2nc(Nc3nc4cc(C(N)=O)ccc4s3)nn2c(=O)c1Cc1ccccc1Cl
0.71	1	1	Cc1[nH]c2nc(N)nn2c(=O)c1Cc1ccccc1	Cc1[nH]c2nc(N)nn2c(=O)c1Cc1ccccc1
0.71	1	1	Cc1[nH]c2nc(N)nn2c(=O)c1Cc1ccccc1	Cc1[nH]c2nc(N)nn2c(=O)c1Cc1ccccc1
0.71	1	1	Cc1[nH]c2nc(N)nn2c(=O)c1Cc1ccccc1	Cc1[nH]c2nc(N)nn2c(=O)c1Cc1ccccc1
0.75	1	1	Cc1[nH]c2nc(N)nn2c(=O)c1Cc1ccccc1	Cc1[nH]c2nc(N)nn2c(=O)c1Cc1ccccc1Cl
0.56	1	1	Cc1[nH]c2nc(N)nn2c(=O)c1Cc1ccccc1	C#CCCNc1nc2[nH]c(C)c(Cc3ccccc3)c(=O)n2n1
0.75	1	1	Cc1[nH]c2nc(N)nn2c(=O)c1Cc1ccccc1	CC1=Nc2nc3[nH]c(C)c(c(=O)n3n2)C(c2ccccc2)C1=CC=CCl
0.36	1	1	Cc1[nH]c2nc(N)nn2c(=O)c1Cc1ccccc1	Nc1nc2[nH]c(CN(c3nc4ccccc4[nH]3)C3CCCC3)c(Cc3ccccc3)c(=O)n2n1
0.75	1	1	Cc1[nH]c2nc(N)nn2c(=O)c1Cc1ccccc1	Cc1[nH]c2nc(N)nn2c(=O)c1Cc1ccccc1C(F)(F)F
0.71	1	1	Cc1[nH]c2nc(N)nn2c(=O)c1Cc1ccccc1	Cc1[nH]c2nc(N)nn2c(=O)c1Cc1ccccc1
0.71	1	1	Cc1[nH]c2nc(N)nn2c(=O)c1Cc1ccccc1	Cc1[nH]c2nc(N)nn2c(=O)c1Cc1ccccc1
0.51	1	1	Cc1[nH]c2nc(N)nn2c(=O)c1Cc1ccccc1	COc1cccc(Cc2c(Cc3ccccc3)[nH]c3nc(N)nn3c2=O)c1C(F)(F)F
0.71	1	1	Cc1[nH]c2nc(N)nn2c(=O)c1Cc1ccccc1	Cc1[nH]c2nc(N)nn2c(=O)c1Cc1ccccc1
0.75	1	1	Cc1[nH]c2nc(N)nn2c(=O)c1Cc1ccccc1	Cc1[nH]c2nc(N)nn2c(=O)c1Cc1ccccc1C(F)(F)F
0.71	1	1	Cc1[nH]c2nc(N)nn2c(=O)c1Cc1ccccc1	Cc1[nH]c2nc(N)nn2c(=O)c1Cc1ccccc1
0.72	1	1	Cc1[nH]c2nc(N)nn2c(=O)c1Cc1ccccc1	Cc1[nH]c2nc(N)nn2c(=O)c1Cc1ccc2c(c1)OCO2
